Customer Class_,Customer Subclass_,Lower Limit Demand_,Upper Limit Demand_,Lower Limit Consumption_,Upper Limit Consumption_,Supply Period Start_,Supply Period End_,Supply Period_,kWh Attributable_,kW Attributable_,Generation Charge_per kWh,Transmission Charge_per kWh,Distribution Charge_per kWh,Supply Charge_per kWh,Metering Charge_per kWh,System Loss Charge_per kWh,UC-ME_per kWh,UC-EC_per kWh,UC-SCC_per kWh,Fit-All (Renewable)_per kWh,Lifeline Rate Subsidy_per kWh,Senior Citizen Subsidy_per kWh,Power Act Reduction_per kWh,Distribution Rate True-Up_per kWh,Current RPT Charge_per kWh,UC-ME for (NPC-SPUG)_per kWh,UC-ME for (RED-CI)_per kWh,UC-SD_per kWh,Prev. Mos' Adj on Gen Cost_per kWh,Dist Rate True-Up 1_per kWh,Dist Rate True-Up 2_per kWh,Dist Rate True-Up 3_per kWh,Dist Rate True-Up 4_per kWh,Cross Subsidy Charge_per kWh,For Non-lifeline: Lifeline Subsidy_per kWh,Current RPT_per kWh,Prev. Mos' Adj on Gen_per kWh,Reset Cost Adjustment_per kWh,Total per kWh_,Transmission Charge_per kW,Distribution Charge_per kW,Total per kW_,Supply Charge_per cust/mo,Metering Charge_per cust/mo,Total per cust/mo_,Lifeline Discount_%,Special Discount_%,For Lifeline: Applicable Discounts_%,Total %_,Power Factor Adj_Penalty,Power Factor Adj_Disc
GP 13.8 KV and below,VERY LARGE 13.8 KV AND BELOW,200.0,750.0,,,12-26-13,01-25-14,01-14,6.4208,0.0,5.6673,,0.0609,,,0.2523,0.1561,0.0025,0.1938,,0.1173,0.0001,,,,,,,0.0314,,,,,,,,,,6.4817,337.22,217.08,554.3000000000001,"15,124.68","14,350.77",0.0,,3%,,3.0,1.4%,0.7%
GP 34.5 KV,MEDIUM 34.5 KV,40.0,200.0,,,12-26-13,01-25-14,01-14,6.4208,0.0,5.6673,,0.0609,,,0.2523,0.1561,0.0025,0.1938,,0.1173,0.0001,,,,,,,0.0314,,,,,,,,,,6.4817,371.06,217.08,588.14,"1,004.45","1,009.53",0.0,,3%,,3.0,1.4%,0.7%
GP 34.5 KV,LARGE 34.5 KV,200.0,750.0,,,12-26-13,01-25-14,01-14,6.4208,0.0,5.6673,,0.0609,,,0.2523,0.1561,0.0025,0.1938,,0.1173,0.0001,,,,,,,0.0314,,,,,,,,,,6.4817,371.06,217.08,588.14,"4,166.09","4,189.45",0.0,,3%,,3.0,1.4%,0.7%
GP 34.5 KV,VERY LARGE AND EXTRA LARGE 34.5 KV,200.0,750.0,,,12-26-13,01-25-14,01-14,6.4208,0.0,5.6673,,0.0609,,,0.2523,0.1561,0.0025,0.1938,,0.1173,0.0001,,,,,,,0.0314,,,,,,,,,,6.4817,371.06,217.08,588.14,"15,124.68","14,350.77",0.0,,3%,,3.0,1.4%,0.7%
GP 115 KV / 69 KV,GP 115 KV / 69 KV,,,,,12-26-13,01-25-14,01-14,6.2425,0.0,5.6673,,0.0609,,,0.0740,0.1561,0.0025,0.1938,,0.1173,0.0001,,,,,,,0.0314,,,,,,,,,,6.3034,288.20,170.08,458.28,"15,124.68","14,350.77",0.0,,3%,,3.0,1.4%,0.7%
GHMSCI,GHMSCI,,,,,12-26-13,01-25-14,01-14,6.7747,0.0,5.6673,1.0762,1.0301,,,0.6062,0.1561,0.0025,0.1938,,0.1173,0.0001,,,,,,,0.0314,,,,,,,,,,8.881,,,0.0,331.09,330.93,662.02,,,,0.0,,
FLAT STREETLIGHTS,Per kWh,,,,,12-26-13,01-25-14,01-14,7.546600000000001,0.0,5.6673,0.9392,2.3867,0.7719,,0.6062,0.1561,0.0025,0.1938,,0.1173,0.0001,,,,,,,0.0314,,,,,,,,,,10.8725,,,0.0,,,0.0,,,,0.0,,
FLAT STREETLIGHTS,"125 W Mercury, 70 W HPS(or equivalent)",,,,,12-26-13,01-25-14,01-14,316.9742,0.0,238.03,39.45,100.24,32.42,,25.46,6.56,0.11,8.14,,4.93,0.0042,,,,,,,1.32,,,,,,,,,,456.6642,,,0.0,,,0.0,,,,0.0,,
FLAT STREETLIGHTS,"250 W Mercury, 150 W HPS(or equivalent)",,,,,12-26-13,01-25-14,01-14,505.6267,0.0,379.71,62.93,159.91,51.72,,40.62,10.46,0.17,12.98,,7.86,0.0067,,,,,,,2.10,,,,,,,,,,728.4667,,,0.0,,,0.0,,,,0.0,,
FLAT STREETLIGHTS,"400 W Mercury, 250 W HPS(or equivalent)",,,,,12-26-13,01-25-14,01-14,845.2212,0.0,634.74,105.19,267.31,86.45,,67.89,17.48,0.28,21.71,,13.14,0.0112,,,,,,,3.52,,,,,,,,,,1217.7212000000002,,,0.0,,,0.0,,,,0.0,,
FLAT STREETLIGHTS,400 W HPS(or equivalent),,,,,12-26-13,01-25-14,01-14,1313.1074,0.0,986.11,163.42,415.29,134.31,,105.48,27.16,0.44,33.72,,20.41,0.0174,,,,,,,5.46,,,,,,,,,,1891.8174,,,0.0,,,0.0,,,,0.0,,
Residential,0 TO 20 KWH,,,0.0,20.0,12-26-14,01-25-15,01-15,6.5158000000000005,0.0,4.7182,0.8650,1.1282,0.5730,0.3840,0.4882,0.1561,0.0025,0.1938,,,,,,,,,,,,,,,,,,,,8.509,,,0.0,18.85,5.00,23.85,100.00%,,,100.0,,
Residential,21 TO 50 KWH,,,21.0,50.0,12-26-14,01-25-15,01-15,6.5158000000000005,0.0,4.7182,0.8650,1.1282,0.5730,0.3840,0.4882,0.1561,0.0025,0.1938,,,,,,,,,,,,,,,,,,,,8.509,,,0.0,18.85,5.00,23.85,50.00%,,,50.0,,
Residential,51 TO 70 KWH,,,51.0,70.0,12-26-14,01-25-15,01-15,6.5158000000000005,0.0,4.7182,0.8650,1.1282,0.5730,0.3840,0.4882,0.1561,0.0025,0.1938,,,,,,,,,,,,,,,,,,,,8.509,,,0.0,18.85,5.00,23.85,35.00%,,,35.0,,
Residential,71 TO 100 KWH,,,71.0,100.0,12-26-14,01-25-15,01-15,6.5158000000000005,0.0,4.7182,0.8650,1.1282,0.5730,0.3840,0.4882,0.1561,0.0025,0.1938,,,,,,,,,,,,,,,,,,,,8.509,,,0.0,18.85,5.00,23.85,20.00%,,,20.0,,
Residential,101 TO 200 KWH,,,101.0,200.0,12-26-14,01-25-15,01-15,6.637400000000001,0.0,4.7182,0.8650,1.1282,0.5730,0.3840,0.4882,0.1561,0.0025,0.1938,,0.1215,0.0001,,,,,,,,,,,,,,,,,8.630600000000001,,,0.0,18.85,5.00,23.85,,,,0.0,,
Residential,201 TO 300 KWH,,,201.0,300.0,12-26-14,01-25-15,01-15,6.637400000000001,0.0,4.7182,0.8650,1.4855,0.5730,0.3840,0.4882,0.1561,0.0025,0.1938,,0.1215,0.0001,,,,,,,,,,,,,,,,,8.9879,,,0.0,18.85,5.00,23.85,,,,0.0,,
Residential,301 TO 400 KWH,,,301.0,400.0,12-26-14,01-25-15,01-15,6.637400000000001,0.0,4.7182,0.8650,1.8227,0.5730,0.3840,0.4882,0.1561,0.0025,0.1938,,0.1215,0.0001,,,,,,,,,,,,,,,,,9.325099999999999,,,0.0,18.85,5.00,23.85,,,,0.0,,
Residential,OVER 400 KWH,,,,,12-26-14,01-25-15,01-15,6.637400000000001,0.0,4.7182,0.8650,2.4100,0.5730,0.3840,0.4882,0.1561,0.0025,0.1938,,0.1215,0.0001,,,,,,,,,,,,,,,,,9.912400000000002,,,0.0,18.85,5.00,23.85,,,,0.0,,
